주소,위도,경도,견인횟수,nearest_park,park_위도,park_경도,distance,time
서울특별시 광진구 자양동 65-2,37.5326587,127.0672041,18,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,364,2
서울특별시 광진구 자양동 710-1,37.5355482,127.0839566,2,느티나무약국,37.5356457,127.0836106,301,1
서울특별시 광진구 자양동 711,37.5349425,127.0753715,1,자양우성4차아파트,37.5351857,127.0757955,36,0
서울특별시 광진구 자양동 714,37.5343737,127.0812261,1,느티나무약국,37.5356457,127.0836106,303,1
서울특별시 광진구 자양동 718,37.533038,127.0761433,1,서울굿모닝내과,37.5332146,127.0762218,289,1
서울특별시 광진구 자양동 722,37.5330768,127.0849946,1,자양하늘채베르 앞,37.53209682,127.0843791,358,2
서울특별시 광진구 자양동 738,37.5304135,127.0744479,1,자양나들목,37.5297299,127.0749769,888,3
서울특별시 광진구 자양동 74-14,37.5323179,127.0667332,2,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,533,3
서울특별시 광진구 자양동 740,37.530402,127.0787441,1,이튼플러스치과,37.5322128,127.0795486,222,1
서울특별시 광진구 자양동 747,37.5295905,127.0749877,1,자양나들목,37.5297299,127.0749769,7,0
서울특별시 광진구 자양동 761-2,37.5345339,127.0700267,1,신양초등학교,37.53526307,127.0690822,140,1
서울특별시 광진구 자양동 774-16,37.5374064,127.0807564,1,겨울자전거_대림부동산,37.53723994,127.0809106,494,2
서울특별시 광진구 자양동 779-12,37.5381256,127.0830299,1,구의 웰츠타워,37.53805142,127.0834589,386,2
서울특별시 광진구 자양동 779-22,37.5376795,127.0827736,1,구의현대홈시티,37.5374247,127.0830692,24,0
서울특별시 광진구 자양동 781-3,37.5373407,127.0877991,1,대박집앞,37.538116,127.089644,292,2
서울특별시 광진구 자양동 783-1,37.5363514,127.0745967,11,자양우성4차아파트,37.5351857,127.0757955,212,0
서울특별시 광진구 자양동 783-2,37.5370207,127.0740764,12,스타시티몰 2,37.5378028,127.0726322,239,1
서울특별시 광진구 자양동 786-1,37.5330105,127.0710976,1,이튼타워리버5차,37.5321852,127.0690312,241,0
서울특별시 광진구 자양동 787,37.5322136,127.0716289,1,이튼타워리버5차,37.5321852,127.0690312,346,1
서울특별시 광진구 자양동 788,37.5329775,127.0697684,3,이튼타워리버5차,37.5321852,127.0690312,105,0
서울특별시 광진구 자양동 789,37.5334856,127.0720332,3,이튼타워리버5차,37.5321852,127.0690312,383,1
